Unit,Events,Date,Landmark
KUM480,Ignition ON,Sep 28 2024 11:32 AM,
KUM480,Ignition ON,Sep 28 2024 09:51 AM,
KUM480,Ignition ON,Sep 28 2024 09:09 AM,
KUM480,Ignition ON,Sep 28 2024 09:01 AM,
KUM480,Ignition ON,Sep 28 2024 08:52 AM,
KUM480,Ignition ON,Sep 28 2024 08:48 AM,
KUM480,Landmark OUT,Sep 28 2024 08:31 AM,Taller de Fundición Colombia LTDA.
KUM480,Landmark IN,Sep 28 2024 08:29 AM,Taller de Fundición Colombia LTDA.
KUM480,Ignition ON,Sep 28 2024 08:13 AM,
KUM480,Ignition ON,Sep 28 2024 08:01 AM,
KUM480,Landmark OUT,Sep 28 2024 08:01 AM,LEONEL COCOMA HENOC
KUM480,Ignition ON,Sep 28 2024 07:57 AM,LEONEL COCOMA HENOC
KUM480,Landmark IN,Sep 28 2024 07:45 AM,LEONEL COCOMA HENOC
KUM480,Landmark OUT,Sep 28 2024 07:16 AM,parq. Valle del Lili
KUM480,POWER UP,Sep 28 2024 07:15 AM,parq. Valle del Lili
KUM480,Ignition ON,Sep 28 2024 07:15 AM,parq. Valle del Lili
KUM480,Landmark IN,Sep 27 2024 06:32 PM,parq. Valle del Lili
KUM480,Landmark OUT,Sep 27 2024 05:36 PM,MORALES VICTORIA EUGENIA CALI
KUM480,Ignition ON,Sep 27 2024 05:28 PM,MORALES VICTORIA EUGENIA CALI
KUM480,Landmark IN,Sep 27 2024 05:16 PM,MORALES VICTORIA EUGENIA CALI
KUM480,Geofence OUT,Sep 27 2024 04:58 PM,Ruta 4 Brenntag Yumbo
KUM480,Landmark OUT,Sep 27 2024 04:58 PM,LAVANDERIA IND SURTEÑIR S.A.
KUM480,Ignition ON,Sep 27 2024 04:52 PM,LAVANDERIA IND SURTEÑIR S.A.
KUM480,Ignition ON,Sep 27 2024 04:40 PM,LAVANDERIA IND SURTEÑIR S.A.
KUM480,Landmark IN,Sep 27 2024 04:37 PM,LAVANDERIA IND SURTEÑIR S.A.
KUM480,Landmark OUT,Sep 27 2024 04:28 PM,Quimicol Ltda
KUM480,Landmark IN,Sep 27 2024 04:26 PM,Quimicol Ltda
KUM480,Ignition ON,Sep 27 2024 04:14 PM,
KUM480,Ignition ON,Sep 27 2024 03:41 PM,
KUM480,Ignition ON,Sep 27 2024 03:40 PM,
KUM480,Landmark OUT,Sep 27 2024 03:29 PM,BSN MEDICAL LTDA
KUM480,Landmark IN,Sep 27 2024 03:27 PM,BSN MEDICAL LTDA
KUM480,Landmark OUT,Sep 27 2024 03:24 PM,Brenntag Yumbo
KUM480,Geofence OUT,Sep 27 2024 03:22 PM,Br Yumbo Z Parqueo
KUM480,Ignition ON,Sep 27 2024 03:22 PM,Brenntag Yumbo
KUM480,Geofence OUT,Sep 27 2024 02:47 PM,Br Yumbo Z Cargue
KUM480,Geofence IN,Sep 27 2024 02:47 PM,Br Yumbo Z Parqueo
KUM480,Geofence OUT,Sep 27 2024 02:47 PM,ingreso y salida de  brentag 
KUM480,Ignition ON,Sep 27 2024 02:46 PM,Brenntag Yumbo
KUM480,Ignition ON,Sep 27 2024 02:42 PM,Brenntag Yumbo
KUM480,Ignition ON,Sep 27 2024 01:50 PM,Brenntag Yumbo
KUM480,Geofence IN,Sep 27 2024 01:50 PM,Br Yumbo Z Cargue
KUM480,Geofence OUT,Sep 27 2024 01:50 PM,Br Yumbo Z Parqueo
KUM480,Geofence IN,Sep 27 2024 01:50 PM,ingreso y salida de  brentag 
KUM480,Ignition ON,Sep 27 2024 01:46 PM,Brenntag Yumbo
KUM480,Geofence IN,Sep 27 2024 01:21 PM,Br Yumbo Z Parqueo
KUM480,Landmark IN,Sep 27 2024 01:21 PM,Brenntag Yumbo
KUM480,Landmark OUT,Sep 27 2024 01:19 PM,Quimicol Ltda
KUM480,Landmark IN,Sep 27 2024 01:17 PM,Quimicol Ltda
KUM480,Geofence IN,Sep 27 2024 01:13 PM,Ruta 4 Brenntag Yumbo
KUM480,Landmark OUT,Sep 27 2024 12:29 PM,parq. Valle del Lili
KUM480,POWER UP,Sep 27 2024 12:29 PM,parq. Valle del Lili
KUM480,Ignition ON,Sep 27 2024 12:29 PM,parq. Valle del Lili
KUM480,Landmark IN,Sep 27 2024 11:20 AM,parq. Valle del Lili
KUM480,Landmark OUT,Sep 27 2024 11:03 AM,Impadoc S.A.S.
KUM480,Ignition ON,Sep 27 2024 11:01 AM,Impadoc S.A.S.
KUM480,Landmark IN,Sep 27 2024 10:59 AM,Impadoc S.A.S.
KUM480,Ignition ON,Sep 27 2024 10:59 AM,
KUM480,Ignition ON,Sep 27 2024 10:54 AM,
KUM480,Ignition ON,Sep 27 2024 10:04 AM,
KUM480,Landmark OUT,Sep 27 2024 10:02 AM,Impadoc S.A.S.
KUM480,Ignition ON,Sep 27 2024 09:56 AM,Impadoc S.A.S.
KUM480,Landmark IN,Sep 27 2024 09:51 AM,Impadoc S.A.S.
KUM480,Landmark OUT,Sep 27 2024 09:12 AM,Alquin Ltda
KUM480,Landmark IN,Sep 27 2024 09:09 AM,Alquin Ltda
KUM480,Geofence OUT,Sep 27 2024 08:42 AM,Ruta 4 Brenntag Yumbo
KUM480,Landmark OUT,Sep 27 2024 08:36 AM,Brenntag Yumbo
KUM480,Geofence OUT,Sep 27 2024 08:32 AM,Br Yumbo Z Parqueo
KUM480,Ignition ON,Sep 27 2024 08:32 AM,Brenntag Yumbo
KUM480,Geofence IN,Sep 27 2024 08:18 AM,Br Yumbo Z Parqueo
KUM480,Geofence OUT,Sep 27 2024 08:18 AM,ingreso y salida de  brentag 
KUM480,Ignition ON,Sep 27 2024 08:13 AM,Brenntag Yumbo
KUM480,Geofence IN,Sep 27 2024 06:15 AM,ingreso y salida de  brentag 
KUM480,Landmark IN,Sep 27 2024 06:15 AM,Brenntag Yumbo
KUM480,Landmark OUT,Sep 27 2024 06:07 AM,Quimicol Ltda
KUM480,Landmark IN,Sep 27 2024 06:05 AM,Quimicol Ltda
KUM480,Geofence IN,Sep 27 2024 06:03 AM,Ruta 4 Brenntag Yumbo
KUM480,Landmark IN,Sep 27 2024 06:03 AM,BSN MEDICAL LTDA
KUM480,Landmark OUT,Sep 27 2024 05:26 AM,parq. El Caney
KUM480,Landmark IN,Sep 27 2024 05:22 AM,parq. El Caney
KUM480,POWER UP,Sep 27 2024 05:21 AM,
KUM480,Ignition ON,Sep 27 2024 05:21 AM,
KUM480,Landmark OUT,Sep 26 2024 05:35 PM,Alquin Ltda
KUM480,Landmark IN,Sep 26 2024 05:33 PM,Alquin Ltda
KUM480,Geofence OUT,Sep 26 2024 04:56 PM,Ruta 4 Brenntag Yumbo
KUM480,Landmark OUT,Sep 26 2024 04:53 PM,BSN MEDICAL LTDA
KUM480,Landmark IN,Sep 26 2024 04:52 PM,BSN MEDICAL LTDA
KUM480,Landmark OUT,Sep 26 2024 04:48 PM,Industrias Lember                                 
KUM480,Ignition ON,Sep 26 2024 04:45 PM,Industrias Lember                                 
KUM480,Landmark IN,Sep 26 2024 02:20 PM,Industrias Lember                                 
KUM480,Landmark OUT,Sep 26 2024 02:17 PM,Quimicol Ltda
KUM480,Landmark IN,Sep 26 2024 02:15 PM,Quimicol Ltda
KUM480,Ignition ON,Sep 26 2024 02:11 PM,
KUM480,Landmark OUT,Sep 26 2024 01:21 PM,BSN MEDICAL LTDA
KUM480,Landmark IN,Sep 26 2024 01:20 PM,BSN MEDICAL LTDA
KUM480,Geofence OUT,Sep 26 2024 01:16 PM,Br Yumbo Z Parqueo
KUM480,Landmark OUT,Sep 26 2024 01:16 PM,Brenntag Yumbo
KUM480,Ignition ON,Sep 26 2024 01:13 PM,Brenntag Yumbo
KUM480,Geofence IN,Sep 26 2024 01:10 PM,Br Yumbo Z Parqueo
KUM480,Landmark IN,Sep 26 2024 01:10 PM,Brenntag Yumbo
KUM480,Landmark OUT,Sep 26 2024 01:08 PM,Quimicol Ltda
KUM480,Landmark IN,Sep 26 2024 01:06 PM,Quimicol Ltda
KUM480,Ignition ON,Sep 26 2024 01:02 PM,Clarenst
KUM480,Landmark IN,Sep 26 2024 12:46 PM,Ecotechs
KUM480,Ignition ON,Sep 26 2024 12:44 PM,Empaques Flexibles SA
KUM480,Landmark IN,Sep 26 2024 12:35 PM,Empaques Flexibles SA
KUM480,Ignition ON,Sep 26 2024 12:19 PM,
KUM480,Ignition ON,Sep 26 2024 11:06 AM,
KUM480,Ignition ON,Sep 26 2024 11:02 AM,
KUM480,Landmark OUT,Sep 26 2024 10:49 AM,Quimicol Ltda
KUM480,Landmark IN,Sep 26 2024 10:44 AM,Quimicol Ltda
KUM480,Landmark IN,Sep 26 2024 10:42 AM,PREMEZCLAS S.A.
KUM480,Geofence OUT,Sep 26 2024 10:40 AM,Ruta 4 Brenntag Yumbo
KUM480,Landmark OUT,Sep 26 2024 10:40 AM,Profinas S.A.S.
KUM480,Ignition ON,Sep 26 2024 10:36 AM,Profinas S.A.S.
KUM480,Landmark IN,Sep 26 2024 10:21 AM,Profinas S.A.S.
KUM480,Ignition ON,Sep 26 2024 10:19 AM,
KUM480,Landmark OUT,Sep 26 2024 09:53 AM,Industrias Lember                                 
KUM480,Landmark IN,Sep 26 2024 09:51 AM,Brenntag Yumbo
KUM480,Landmark OUT,Sep 26 2024 09:51 AM,Brenntag Yumbo
KUM480,Ignition ON,Sep 26 2024 09:51 AM,Brenntag Yumbo
KUM480,Landmark OUT,Sep 26 2024 09:30 AM,Brenntag Yumbo
KUM480,Ignition ON,Sep 26 2024 09:27 AM,Brenntag Yumbo
KUM480,Geofence OUT,Sep 26 2024 09:24 AM,Br Yumbo Z Cargue
KUM480,Geofence IN,Sep 26 2024 09:23 AM,Br Yumbo Z Cargue
KUM480,Ignition ON,Sep 26 2024 09:23 AM,Brenntag Yumbo
KUM480,Geofence OUT,Sep 26 2024 07:56 AM,Br Yumbo Z Parqueo
KUM480,Geofence IN,Sep 26 2024 07:56 AM,ingreso y salida de  brentag 
KUM480,Geofence IN,Sep 26 2024 07:52 AM,Br Yumbo Z Parqueo
KUM480,Ignition ON,Sep 26 2024 07:52 AM,Brenntag Yumbo
KUM480,Geofence OUT,Sep 26 2024 06:21 AM,EcoEnvases (reenvases)
KUM480,Landmark OUT,Sep 26 2024 06:21 AM,Reenvases
KUM480,Ignition ON,Sep 26 2024 06:19 AM,Reenvases
KUM480,Ignition ON,Sep 26 2024 06:16 AM,Reenvases
KUM480,Ignition ON,Sep 26 2024 06:11 AM,Reenvases
KUM480,Ignition ON,Sep 26 2024 06:10 AM,Reenvases
KUM480,Geofence IN,Sep 26 2024 06:02 AM,EcoEnvases (reenvases)
KUM480,Landmark IN,Sep 26 2024 06:02 AM,Reenvases
KUM480,Landmark IN,Sep 26 2024 06:00 AM,Parmalat Colombia LTDA
KUM480,Landmark OUT,Sep 26 2024 05:55 AM,Quimicol Ltda
KUM480,Landmark IN,Sep 26 2024 05:53 AM,Quimicol Ltda
KUM480,Geofence IN,Sep 26 2024 05:50 AM,Ruta 4 Brenntag Yumbo
KUM480,Landmark OUT,Sep 26 2024 05:14 AM,parq. El Caney
KUM480,POWER UP,Sep 26 2024 05:13 AM,parq. El Caney
KUM480,Ignition ON,Sep 26 2024 05:13 AM,parq. El Caney
KUM480,Landmark IN,Sep 25 2024 04:34 PM,parq. El Caney
KUM480,Ignition ON,Sep 25 2024 04:09 PM,
KUM480,Ignition ON,Sep 25 2024 03:44 PM,
KUM480,Ignition ON,Sep 25 2024 02:02 PM,
KUM480,Landmark OUT,Sep 25 2024 01:39 PM,CUARTAS RAMIREZ FABIAN
KUM480,Ignition ON,Sep 25 2024 01:35 PM,CUARTAS RAMIREZ FABIAN
KUM480,Landmark IN,Sep 25 2024 01:25 PM,CUARTAS RAMIREZ FABIAN
KUM480,Landmark OUT,Sep 25 2024 01:24 PM,Uribe Jhon Jairo Casa Quimica
KUM480,Landmark IN,Sep 25 2024 01:22 PM,Uribe Jhon Jairo Casa Quimica
KUM480,Landmark OUT,Sep 25 2024 01:10 PM, Farmacia Drogueria San Jorge LTDA
KUM480,Ignition ON,Sep 25 2024 01:09 PM, Farmacia Drogueria San Jorge LTDA
KUM480,Ignition ON,Sep 25 2024 12:37 PM, Farmacia Drogueria San Jorge LTDA
KUM480,Landmark IN,Sep 25 2024 12:34 PM, Farmacia Drogueria San Jorge LTDA
KUM480,Landmark OUT,Sep 25 2024 12:31 PM, PRODUCTOS RINCON
KUM480,Landmark IN,Sep 25 2024 12:27 PM, PRODUCTOS RINCON
KUM480,Ignition ON,Sep 25 2024 12:18 PM,
KUM480,Ignition ON,Sep 25 2024 12:13 PM,
KUM480,Landmark OUT,Sep 25 2024 12:05 PM,Alexander Chacon
KUM480,Landmark OUT,Sep 25 2024 12:02 PM,Velasquez Rodas Fabio Velquimicos 
KUM480,Landmark IN,Sep 25 2024 12:02 PM,Velasquez Rodas Fabio Velquimicos 
KUM480,Landmark OUT,Sep 25 2024 11:58 AM,Coldesivos
KUM480,Ignition ON,Sep 25 2024 11:58 AM,Coldesivos
KUM480,Landmark IN,Sep 25 2024 11:55 AM,Coldesivos
KUM480,Ignition ON,Sep 25 2024 11:54 AM,
KUM480,Landmark OUT,Sep 25 2024 11:48 AM,Coldesivos
KUM480,Ignition ON,Sep 25 2024 11:47 AM,Coldesivos
KUM480,Ignition ON,Sep 25 2024 11:45 AM,Coldesivos
KUM480,Ignition ON,Sep 25 2024 11:44 AM,Coldesivos
KUM480,Landmark IN,Sep 25 2024 11:38 AM,Coldesivos
KUM480,Landmark OUT,Sep 25 2024 11:33 AM,Industrias Yilop de Colombia S.A.S.
KUM480,Ignition ON,Sep 25 2024 11:33 AM,Industrias Yilop de Colombia S.A.S.
KUM480,Landmark IN,Sep 25 2024 11:02 AM,Industrias Yilop de Colombia S.A.S.
KUM480,Landmark OUT,Sep 25 2024 10:47 AM,Alexander Chacon
KUM480,Landmark IN,Sep 25 2024 10:47 AM,Alexander Chacon
KUM480,Geofence OUT,Sep 25 2024 10:23 AM,Ruta 4 Brenntag Yumbo
KUM480,Landmark OUT,Sep 25 2024 10:19 AM,Industrias Lember                                 
KUM480,Landmark IN,Sep 25 2024 10:16 AM,Brenntag Yumbo
KUM480,Landmark OUT,Sep 25 2024 10:16 AM,Brenntag Yumbo
KUM480,Ignition ON,Sep 25 2024 10:16 AM,Brenntag Yumbo
KUM480,Geofence OUT,Sep 25 2024 09:04 AM,Br Yumbo Z Cargue
KUM480,Geofence IN,Sep 25 2024 09:04 AM,Br Yumbo Z Parqueo
KUM480,Geofence OUT,Sep 25 2024 09:04 AM,ingreso y salida de  brentag 
KUM480,Landmark OUT,Sep 25 2024 09:04 AM,Brenntag Yumbo
KUM480,Ignition ON,Sep 25 2024 09:02 AM,Brenntag Yumbo
KUM480,Landmark IN,Sep 25 2024 09:00 AM,Brenntag Yumbo
KUM480,Geofence IN,Sep 25 2024 08:59 AM,Br Yumbo Z Cargue
KUM480,Ignition ON,Sep 25 2024 08:59 AM,
KUM480,Geofence OUT,Sep 25 2024 07:51 AM,Br Yumbo Z Cargue
KUM480,Landmark OUT,Sep 25 2024 07:51 AM,Brenntag Yumbo
KUM480,Ignition ON,Sep 25 2024 07:47 AM,Brenntag Yumbo
KUM480,Geofence IN,Sep 25 2024 07:44 AM,Br Yumbo Z Cargue
KUM480,Geofence OUT,Sep 25 2024 07:44 AM,Br Yumbo Z Parqueo
KUM480,Geofence IN,Sep 25 2024 07:44 AM,ingreso y salida de  brentag 
KUM480,Landmark IN,Sep 25 2024 07:43 AM,Brenntag Yumbo
KUM480,Ignition ON,Sep 25 2024 07:43 AM,Industrias Lember                                 
KUM480,Geofence IN,Sep 25 2024 06:25 AM,Br Yumbo Z Parqueo
KUM480,Landmark OUT,Sep 25 2024 06:25 AM,Reenvases
KUM480,Geofence OUT,Sep 25 2024 06:22 AM,EcoEnvases (reenvases)
KUM480,Landmark IN,Sep 25 2024 06:22 AM,Parmalat Colombia LTDA
KUM480,Ignition ON,Sep 25 2024 06:22 AM,Reenvases
KUM480,Ignition ON,Sep 25 2024 06:15 AM,Reenvases
KUM480,Geofence IN,Sep 25 2024 06:05 AM,EcoEnvases (reenvases)
KUM480,Landmark IN,Sep 25 2024 06:05 AM,Reenvases
KUM480,Landmark IN,Sep 25 2024 06:03 AM,Parmalat Colombia LTDA
KUM480,Landmark OUT,Sep 25 2024 05:59 AM,Quimicol Ltda
KUM480,Landmark IN,Sep 25 2024 05:57 AM,Quimicol Ltda
KUM480,Landmark OUT,Sep 25 2024 05:56 AM,BSN MEDICAL LTDA
KUM480,Geofence IN,Sep 25 2024 05:55 AM,Ruta 4 Brenntag Yumbo
KUM480,Landmark IN,Sep 25 2024 05:55 AM,BSN MEDICAL LTDA
KUM480,Landmark OUT,Sep 25 2024 05:22 AM,parq. Valle del Lili
KUM480,POWER UP,Sep 25 2024 05:17 AM,parq. Valle del Lili
KUM480,Ignition ON,Sep 25 2024 05:17 AM,parq. Valle del Lili
KUM480,Landmark IN,Sep 24 2024 02:43 PM,parq. Valle del Lili
KUM480,Landmark OUT,Sep 24 2024 02:23 PM,Plasticos Calibrados
KUM480,Landmark IN,Sep 24 2024 02:21 PM,Plasticos Calibrados
KUM480,Landmark OUT,Sep 24 2024 02:03 PM,Quimica Centauro
KUM480,Ignition ON,Sep 24 2024 02:02 PM,Quimica Centauro
KUM480,Landmark IN,Sep 24 2024 01:55 PM,Quimica Centauro
KUM480,Ignition ON,Sep 24 2024 01:49 PM,
KUM480,Ignition ON,Sep 24 2024 01:10 PM,
KUM480,Ignition ON,Sep 24 2024 12:24 PM,
KUM480,Landmark OUT,Sep 24 2024 12:01 PM,Penagos Luna Diego
KUM480,Ignition ON,Sep 24 2024 12:00 PM,Penagos Luna Diego
KUM480,Landmark IN,Sep 24 2024 11:26 AM,Penagos Luna Diego
KUM480,Landmark OUT,Sep 24 2024 11:26 AM,Alexander Chacon
KUM480,Landmark IN,Sep 24 2024 11:20 AM,Alexander Chacon
KUM480,Landmark OUT,Sep 24 2024 11:15 AM,LEMSA S.A.S.
KUM480,Ignition ON,Sep 24 2024 11:15 AM,LEMSA S.A.S.
KUM480,Landmark IN,Sep 24 2024 10:56 AM,LEMSA S.A.S.
KUM480,Landmark OUT,Sep 24 2024 10:53 AM,ColPal
KUM480,Ignition ON,Sep 24 2024 10:51 AM,Colgate Palmolive
KUM480,Ignition ON,Sep 24 2024 10:46 AM,Colgate Palmolive
KUM480,Ignition ON,Sep 24 2024 10:35 AM,Colgate Palmolive
KUM480,Landmark IN,Sep 24 2024 10:34 AM,Colgate Palmolive
KUM480,Ignition ON,Sep 24 2024 10:30 AM,Abastecimientos Plasticos
KUM480,Landmark IN,Sep 24 2024 10:10 AM,ColPal
KUM480,Landmark OUT,Sep 24 2024 09:50 AM,taller Indurremolques
KUM480,Ignition ON,Sep 24 2024 09:46 AM,taller Indurremolques
KUM480,Landmark IN,Sep 24 2024 09:30 AM,taller Indurremolques
KUM480,Landmark OUT,Sep 24 2024 09:29 AM,J&C
KUM480,Ignition ON,Sep 24 2024 09:27 AM,J&C
KUM480,Landmark IN,Sep 24 2024 09:23 AM,J&C
KUM480,Geofence OUT,Sep 24 2024 09:09 AM,Ruta 4 Brenntag Yumbo
KUM480,Geofence OUT,Sep 24 2024 09:02 AM,Br Yumbo Z Cargue
KUM480,Geofence OUT,Sep 24 2024 09:02 AM,ingreso y salida de  brentag 
KUM480,Landmark OUT,Sep 24 2024 09:02 AM,Brenntag Yumbo
KUM480,Geofence IN,Sep 24 2024 08:58 AM,Br Yumbo Z Cargue
KUM480,Ignition ON,Sep 24 2024 08:57 AM,Brenntag Yumbo
KUM480,Geofence OUT,Sep 24 2024 08:23 AM,Br Yumbo Z Cargue
KUM480,Ignition ON,Sep 24 2024 08:23 AM,Brenntag Yumbo
KUM480,Geofence IN,Sep 24 2024 06:14 AM,Br Yumbo Z Cargue
KUM480,Geofence IN,Sep 24 2024 06:14 AM,ingreso y salida de  brentag 
KUM480,Landmark IN,Sep 24 2024 06:14 AM,Brenntag Yumbo
KUM480,Landmark OUT,Sep 24 2024 06:06 AM,Quimicol Ltda
KUM480,Landmark IN,Sep 24 2024 06:04 AM,Quimicol Ltda
KUM480,Landmark OUT,Sep 24 2024 06:03 AM,BSN MEDICAL LTDA
KUM480,Geofence IN,Sep 24 2024 06:01 AM,Ruta 4 Brenntag Yumbo
KUM480,Landmark IN,Sep 24 2024 06:01 AM,BSN MEDICAL LTDA
KUM480,POWER UP,Sep 24 2024 05:22 AM,
KUM480,Ignition ON,Sep 24 2024 05:22 AM,
KUM480,Landmark OUT,Sep 23 2024 05:59 PM,Anillo V Coronado
KUM480,Landmark IN,Sep 23 2024 05:56 PM,Anillo V Coronado
KUM480,Geofence OUT,Sep 23 2024 05:39 PM,PEAJE EL CERRITO 
KUM480,Geofence IN,Sep 23 2024 05:37 PM,PEAJE EL CERRITO 
KUM480,Geofence OUT,Sep 23 2024 05:13 PM,Ruta 5 Brenntag Buga
KUM480,Landmark OUT,Sep 23 2024 05:11 PM,parq. Las Palmas- Buga
KUM480,Landmark IN,Sep 23 2024 05:09 PM,parq. Las Palmas- Buga
KUM480,Ignition ON,Sep 23 2024 05:05 PM,
KUM480,Landmark OUT,Sep 23 2024 04:58 PM,estacion terpel de Paloblanco
KUM480,Landmark IN,Sep 23 2024 04:57 PM,estacion terpel de Paloblanco
KUM480,Ignition ON,Sep 23 2024 04:53 PM,
KUM480,Geofence IN,Sep 23 2024 04:39 PM,Ruta 5 Brenntag Buga
KUM480,Geofence OUT,Sep 23 2024 04:35 PM,PEAJE SAN PEDRO 
KUM480,Landmark OUT,Sep 23 2024 04:35 PM,Peaje Betania
KUM480,Geofence IN,Sep 23 2024 04:33 PM,PEAJE SAN PEDRO 
KUM480,Landmark IN,Sep 23 2024 04:33 PM,Peaje Betania
KUM480,Ignition ON,Sep 23 2024 04:20 PM,
KUM480,Geofence OUT,Sep 23 2024 03:50 PM,Ruta 5 Brenntag Tulua
KUM480,Landmark OUT,Sep 23 2024 03:50 PM,Levapan s a Tulua
KUM480,Landmark OUT,Sep 23 2024 03:48 PM,Dotaciones Quimicas EM LTDA
KUM480,Ignition ON,Sep 23 2024 03:44 PM,Levapan s a Tulua
KUM480,Ignition ON,Sep 23 2024 03:40 PM,Levapan s a Tulua
KUM480,Landmark IN,Sep 23 2024 03:34 PM,Dotaciones Quimicas EM LTDA
KUM480,Ignition ON,Sep 23 2024 03:27 PM,
KUM480,Landmark OUT,Sep 23 2024 02:48 PM,Dotaciones Quimicas EM LTDA
KUM480,Ignition ON,Sep 23 2024 02:40 PM,Dotaciones Quimicas EM LTDA
KUM480,Ignition ON,Sep 23 2024 02:34 PM,Dotaciones Quimicas EM LTDA
KUM480,Ignition ON,Sep 23 2024 02:18 PM,Dotaciones Quimicas EM LTDA
KUM480,Ignition ON,Sep 23 2024 02:16 PM,Dotaciones Quimicas EM LTDA
KUM480,Ignition ON,Sep 23 2024 02:11 PM,Dotaciones Quimicas EM LTDA
KUM480,Landmark IN,Sep 23 2024 02:10 PM,Dotaciones Quimicas EM LTDA
KUM480,Ignition ON,Sep 23 2024 02:09 PM,Levapan s a Tulua
KUM480,Landmark IN,Sep 23 2024 01:50 PM,Levapan s a Tulua
KUM480,Geofence IN,Sep 23 2024 01:45 PM,Ruta 5 Brenntag Tulua
KUM480,Geofence OUT,Sep 23 2024 01:36 PM,EDS San Pedro
KUM480,Geofence IN,Sep 23 2024 01:34 PM,EDS San Pedro
KUM480,Landmark OUT,Sep 23 2024 01:30 PM,Peaje Betania
KUM480,Geofence OUT,Sep 23 2024 01:28 PM,PEAJE SAN PEDRO 
KUM480,Geofence IN,Sep 23 2024 01:28 PM,PEAJE SAN PEDRO 
KUM480,Landmark IN,Sep 23 2024 01:26 PM,Peaje Betania
KUM480,Geofence OUT,Sep 23 2024 01:22 PM,Ruta 5 Brenntag Buga
KUM480,Ignition ON,Sep 23 2024 01:13 PM,
KUM480,Geofence IN,Sep 23 2024 12:34 PM,Ruta 5 Brenntag Buga
KUM480,Geofence OUT,Sep 23 2024 12:06 PM,PEAJE EL CERRITO 
KUM480,Geofence IN,Sep 23 2024 12:04 PM,PEAJE EL CERRITO 
KUM480,Landmark OUT,Sep 23 2024 11:52 AM,Peaje Rozo
KUM480,Landmark IN,Sep 23 2024 11:48 AM,Peaje Rozo
KUM480,Geofence OUT,Sep 23 2024 11:15 AM,Ruta 4 Brenntag Yumbo
KUM480,Landmark OUT,Sep 23 2024 11:07 AM,Cajero Bancol Lloreda
KUM480,Landmark IN,Sep 23 2024 11:05 AM,Cajero Bancol Lloreda
KUM480,Landmark OUT,Sep 23 2024 11:03 AM,PREMEZCLAS S.A.
KUM480,Landmark IN,Sep 23 2024 11:01 AM,PREMEZCLAS S.A.
KUM480,Landmark OUT,Sep 23 2024 10:57 AM,Brenntag Yumbo
KUM480,Ignition ON,Sep 23 2024 10:53 AM,Brenntag Yumbo
KUM480,Geofence OUT,Sep 23 2024 10:17 AM,ingreso y salida de  brentag 
KUM480,Ignition ON,Sep 23 2024 10:16 AM,Brenntag Yumbo
KUM480,Geofence OUT,Sep 23 2024 10:02 AM,Br Yumbo Z Cargue
KUM480,Ignition ON,Sep 23 2024 10:02 AM,Brenntag Yumbo
KUM480,Ignition ON,Sep 23 2024 08:57 AM,Brenntag Yumbo
KUM480,Geofence IN,Sep 23 2024 08:49 AM,ingreso y salida de  brentag 
KUM480,Ignition ON,Sep 23 2024 08:45 AM,Brenntag Yumbo
